sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_dist,sy_disterr1,sy_disterr2
1,8,Transit,7.008151,1.9E-05,-1.9E-05,0.074,0.016,-0.016,0,1.31,0.17,-0.17,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,8.719375,2.7E-05,-2.7E-05,0.089,0.012,-0.012,0,1.19,0.14,-0.14,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,59.73667,0.00038,-0.00038,0.32,0.05,-0.05,0,2.87,0.3,-0.3,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,91.93913,0.00073,-0.00073,0.42,0.06,-0.06,0,2.66,0.29,-0.29,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,124.9144,0.0019,-0.0019,0.48,0.09,-0.09,0,2.88,0.52,-0.52,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,210.60697,0.00043,-0.00043,0.71,0.08,-0.08,0,8.1,0.8,-0.8,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,8,Transit,331.60059,0.00037,-0.00037,1.01,0.11,-0.11,0,11.3,1,-1,0,,,,,,,,,,,,,,,,,,,,,0,,6080,260,-170,0,1.2,0.1,-0.1,0,1.2,0.1,-0.1,0,-0.12,0.18,-0.18,0,4.4,,,0,,,,,,,,,848.254,10.8185,-10.8185
1,7,Transit,1.510826,6E-06,-6E-06,0.01154,0.0001,-0.0001,0,1.116,0.014,-0.012,0,1.374,0.069,-0.069,0,5.44194,0.26465,-0.27568,0,,,,,4.15,0.16,-0.16,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,2.421937,1.8E-05,-1.8E-05,0.0158,0.00013,-0.00013,0,1.097,0.014,-0.012,0,1.308,0.056,-0.056,0,5.46399,0.22054,-0.23709,0,,,,,2.21,0.09,-0.09,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,4.049219,2.6E-05,-2.6E-05,0.02227,0.00019,-0.00019,0,0.788,0.011,-0.01,0,0.388,0.012,-0.012,0,4.36678,0.15438,-0.16541,0,,,,,1.11,0.04,-0.04,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,6.101013,3.5E-05,-3.5E-05,0.02925,0.0025,-0.0025,0,0.92,0.013,-0.012,0,0.692,0.022,-0.022,0,4.9016,0.16541,-0.18195,0,,,,,0.65,0.03,-0.03,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,9.20754,3.2E-05,-3.2E-05,0.03849,0.00033,-0.00033,0,1.045,0.013,-0.012,0,1.039,0.031,-0.031,0,5.0229,0.13784,-0.15989,0,,,,,0.37,0.01,-0.01,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,12.352446,5.4E-05,-5.4E-05,0.04683,0.0004,-0.0004,0,1.129,0.015,-0.013,0,1.321,0.038,-0.038,0,5.05599,0.13784,-0.15989,0,,,,,0.25,0.01,-0.01,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,7,Transit,18.772866,0.000214,-0.000214,0.06189,0.00053,-0.00053,0,0.755,0.014,-0.014,0,0.326,0.02,-0.02,0,4.16278,0.3253,-0.30325,0,,,,,0.14,0.01,-0.01,0,,,,,1,,2566,26,-26,0,0.12,0,0,0,0.09,0,0,0,,,,,5.24,0.01,-0.01,0,,,,,75.05,1.02,-1.66,0,,,
1,6,Radial Velocity,5.75969,0.00028,-0.00028,0.06412,0.00101,-0.00101,0,,,,,,,,,,,,,0.073,0.031,-0.031,0,,,,,,,,,0,,5911,19,-19,0,1.11,0.04,-0.04,0,1.06,0.05,-0.05,0,0.08,0.01,-0.01,0,4.39,0.03,-0.03,0,,,,,,,,,38.9607,0.0387,-0.0386
1,6,Radial Velocity,16.357,0.0038,-0.0038,0.12859,0.00202,-0.00202,0,,,,,,,,,,,,,0.131,0.052,-0.052,0,,,,,,,,,0,,5911,19,-19,0,1.11,0.04,-0.04,0,1.06,0.05,-0.05,0,0.08,0.01,-0.01,0,4.39,0.03,-0.03,0,,,,,,,,,38.9607,0.0387,-0.0386
1,6,Radial Velocity,49.748,0.025,-0.025,0.2699,0.0043,-0.0043,0,,,,,,,,,,,,,0.051,0.033,-0.033,0,,,,,,,,,0,,5911,19,-19,0,1.11,0.04,-0.04,0,1.06,0.05,-0.05,0,0.08,0.01,-0.01,0,4.39,0.03,-0.03,0,,,,,,,,,38.9607,0.0387,-0.0386
